student_id,Competency
77ac131425e64550932cafa1b9caf342,AIC-504
77ac131425e64550932cafa1b9caf342,AIC-604
77ac131425e64550932cafa1b9caf342,ENI-103
77ac131425e64550932cafa1b9caf342,HCD-304
77ac131425e64550932cafa1b9caf342,HCD-403
77ac131425e64550932cafa1b9caf342,HCD-504
77ac131425e64550932cafa1b9caf342,SCI-106
77ac131425e64550932cafa1b9caf342,SCI-107
77ac131425e64550932cafa1b9caf342,SCI-108
77ac131425e64550932cafa1b9caf342,SCI-109
77ac131425e64550932cafa1b9caf342,SEC-101
77ac131425e64550932cafa1b9caf342,SEC-302
77ac131425e64550932cafa1b9caf342,URD-202
7f27490861bc46bf8de750471c46621e,AIC-101
7f27490861bc46bf8de750471c46621e,AIC-504
7f27490861bc46bf8de750471c46621e,HCD-304
7f27490861bc46bf8de750471c46621e,HCD-403
7f27490861bc46bf8de750471c46621e,HCD-502
7f27490861bc46bf8de750471c46621e,SCI-108
7f27490861bc46bf8de750471c46621e,SEC-101
7f27490861bc46bf8de750471c46621e,SEC-302
8394d3b9ec044ad88d3690ed96e16f45,AIC-504
8394d3b9ec044ad88d3690ed96e16f45,ENI-103
8394d3b9ec044ad88d3690ed96e16f45,ENI-107
8394d3b9ec044ad88d3690ed96e16f45,ENI-201
8394d3b9ec044ad88d3690ed96e16f45,HCD-304
8394d3b9ec044ad88d3690ed96e16f45,HCD-403
8394d3b9ec044ad88d3690ed96e16f45,HCD-502
8394d3b9ec044ad88d3690ed96e16f45,SCI-106
8394d3b9ec044ad88d3690ed96e16f45,SCI-107
8394d3b9ec044ad88d3690ed96e16f45,SEC-101
8394d3b9ec044ad88d3690ed96e16f45,URD-102
85b343e4928e4e8482558259a27be71d,AIC-201
85b343e4928e4e8482558259a27be71d,AIC-301
85b343e4928e4e8482558259a27be71d,COM-106
85b343e4928e4e8482558259a27be71d,HCD-403
85b343e4928e4e8482558259a27be71d,HCD-502
85b343e4928e4e8482558259a27be71d,SEN-214
85b343e4928e4e8482558259a27be71d,SEN-306
85b343e4928e4e8482558259a27be71d,URD-202
86d7343130af40b79e0c380aa4eb34fb,ENI-103
86d7343130af40b79e0c380aa4eb34fb,ENI-107
86d7343130af40b79e0c380aa4eb34fb,ENI-201
86d7343130af40b79e0c380aa4eb34fb,SYS-102
86d7343130af40b79e0c380aa4eb34fb,URD-102
887ab1b5e3274578bd3694eced6b5ca5,ENI-103
887ab1b5e3274578bd3694eced6b5ca5,ENI-107
887ab1b5e3274578bd3694eced6b5ca5,ENI-201
887ab1b5e3274578bd3694eced6b5ca5,HCD-403
887ab1b5e3274578bd3694eced6b5ca5,HCD-502
887ab1b5e3274578bd3694eced6b5ca5,SYS-102
887ab1b5e3274578bd3694eced6b5ca5,URD-102
89bfc693704e410da9e9b2b05b762645,COM-106
89bfc693704e410da9e9b2b05b762645,HCD-403
89bfc693704e410da9e9b2b05b762645,HCD-502
89bfc693704e410da9e9b2b05b762645,SEN-109
89bfc693704e410da9e9b2b05b762645,SEN-214
89bfc693704e410da9e9b2b05b762645,SEN-305
89bfc693704e410da9e9b2b05b762645,SEN-306
89bfc693704e410da9e9b2b05b762645,SEN-307
89bfc693704e410da9e9b2b05b762645,URD-202
8a6d1d9513034dd49f31731ad2363268,HAS-123
8a6d1d9513034dd49f31731ad2363268,HAS-133
8a6d1d9513034dd49f31731ad2363268,HAS-143
8a6d1d9513034dd49f31731ad2363268,SCI-102
8a6d1d9513034dd49f31731ad2363268,SCI-107
8a6d1d9513034dd49f31731ad2363268,SEC-101
8a6d1d9513034dd49f31731ad2363268,URD-302
8cf290cd570147638c09337e7949a5c4,AIC-504
8cf290cd570147638c09337e7949a5c4,HAS-133
8cf290cd570147638c09337e7949a5c4,HAS-143
8cf290cd570147638c09337e7949a5c4,HCD-504
8cf290cd570147638c09337e7949a5c4,SCI-104
8cf290cd570147638c09337e7949a5c4,SEC-101
8cf290cd570147638c09337e7949a5c4,SEC-303
8cf290cd570147638c09337e7949a5c4,URD-101
8cf290cd570147638c09337e7949a5c4,URD-302
8f8114cc75f14655a2318ddc3d642f8e,AIC-504
8f8114cc75f14655a2318ddc3d642f8e,ENI-103
8f8114cc75f14655a2318ddc3d642f8e,SEC-101
8f8114cc75f14655a2318ddc3d642f8e,URD-102
96798963e6a140059aab83d10f4a075b,AIC-201
96798963e6a140059aab83d10f4a075b,COM-104
96798963e6a140059aab83d10f4a075b,ENI-103
96798963e6a140059aab83d10f4a075b,ENI-106
96798963e6a140059aab83d10f4a075b,HAS-123
96798963e6a140059aab83d10f4a075b,HAS-133
96798963e6a140059aab83d10f4a075b,HAS-143
96798963e6a140059aab83d10f4a075b,HCD-402
96798963e6a140059aab83d10f4a075b,HCD-403
96798963e6a140059aab83d10f4a075b,HCD-502
96798963e6a140059aab83d10f4a075b,URD-201
98a78935cf964f32882623346cd00475,AIC-201
98a78935cf964f32882623346cd00475,AIC-301
98a78935cf964f32882623346cd00475,ENI-105
98a78935cf964f32882623346cd00475,HCD-403
98a78935cf964f32882623346cd00475,HCD-502
98a78935cf964f32882623346cd00475,HCD-504
98a78935cf964f32882623346cd00475,SEN-306
98a78935cf964f32882623346cd00475,SYS-206
98a78935cf964f32882623346cd00475,URD-202
a4ef8c1e08fb477297c3b5211bc8df81,COM-103
a4ef8c1e08fb477297c3b5211bc8df81,COM-105
a4ef8c1e08fb477297c3b5211bc8df81,HCD-402
af439bc5734d4622b4be49eda1ac9bb0,COM-106
